title,date,rank,singer,lyric_rat
Nobody,2008. 09. 22.,4,원더걸스,54.4072948328268
강남스타일,2012. 07. 15.,1,싸이 (PSY),17.6470588235294
GENTLEMAN,2013. 04. 12.,14,싸이 (PSY),77.0992366412214
DNA,2017. 09. 18.,16,방탄소년단,21.9827586206897
FAKE LOVE,2018. 05. 18.,18,방탄소년단,50.0
뚜두뚜두 (DDU-DU DDU-DU),2018. 06. 15.,6,BLACKPINK,48.8970588235294
작은 것들을 위한 시 (Boy With Luv),2019. 04. 12.,3,방탄소년단,55.376344086021500
ON,2020. 02. 21.,17,방탄소년단,67.1806167400881
How You Like That,2020. 06. 26.,15,BLACKPINK,77.0700636942675
Dynamite,2020. 08. 24.,3,방탄소년단,100.0
Lovesick Girls,2020. 10. 02.,14,BLACKPINK,56.7073170731707
Life Goes On,2020. 11. 20.,25,방탄소년단,28.9915966386555
Butter,2021. 05. 21.,8,방탄소년단,100.0
That That (prod. & feat. SUGA),2022. 04. 29.,9,싸이 (PSY),78.2945736434108